"treeID","stemID","tag","StemTag","sp","quadrat","gx","gy","MeasureID","CensusID","dbh","pom","hom","ExactDate","DFstatus","codes","nostems","status","date"
10289,10289,"1617",NA,"DIOSLA","C1",50.8,7.4,22076,5,32,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10290,10290,"1618",NA,"BACCKU","C1",51,7.5,22084,5,15,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10291,10291,"1621",NA,"MEMEPU","C1",51.6,9.1,22092,5,19,"1.3",1.3,2003-03-24,"alive","M",1,"A",15788
10292,10292,"1622",NA,"CANAPA","C1",51.3,9.5,22100,5,51,"1.3",1.3,2003-03-24,"alive","M",1,"A",15788
10293,10293,"1623",NA,"POPOTO","C1",50,10.7,22108,5,82,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10294,10294,"1626",NA,"ALPHJO","C1",51.3,10.2,22116,5,NA,"0",0,2003-03-24,"missing","K",1,"A",15788
10295,10295,"1627",NA,"ALPHJO","C1",52.8,10,22124,5,14,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10296,10296,"1628",NA,"SCAPMA","C1",54.6,10,22132,5,NA,"0",0,2003-03-24,"missing","K",1,"M",15788
10297,10297,"1631",NA,"VATIRI","C1",53.2,10.4,22140,5,49,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10298,10298,"1632",NA,"STROCE","C1",52.8,11.2,22148,5,47,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10299,10299,"1634",NA,"GOM2SE","C1",53.6,11.8,22156,5,140,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10300,10300,"1635",NA,"XANTEU","C1",53,12.5,22164,5,31,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10301,10301,"1638",NA,"IXONIC","C1",51.8,12,22172,5,22,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10302,10302,"1641",NA,"GREWBL","C1",50.8,14,22180,5,NA,"0",0,2003-03-24,"missing","K",1,"M",15788
10303,10303,"1642",NA,"GREWBL","C1",52.4,14.9,22188,5,16,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10304,10304,"1643",NA,"KOKORE","C1",50.5,13.3,22196,5,37,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10305,10305,"1644",NA,"GARCEU","C1",54.8,14.5,22204,5,17,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10306,10306,"1646",NA,"PIMEGR","C1",54,16,22212,5,NA,"0",0,2003-03-24,"broken below","B",1,"A",15788
10307,10307,"1647",NA,"DIOSLA","C1",53.4,16.5,22220,5,NA,"0",0,2003-03-24,"missing","K",1,"M",15788
10308,10308,"1648",NA,"DIOSLA","C1",53.4,17,22228,5,14,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10309,10309,"1649",NA,"DIOSLA","C1",52.6,16.5,22236,5,25,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10310,10310,"1650",NA,"SANTAP","C1",51.8,17.6,22244,5,30,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10311,10311,"1651",NA,"CROTLA","C1",52.1,17.7,22252,5,27,"1.3",1.3,2003-03-24,"alive","M",1,"A",15788
10312,10312,"1653",NA,"CALOBM","C1",51.1,18.3,22260,5,14,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10313,10313,"1654",NA,"CLERLA","C1",51,19.1,22268,5,49,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10314,10314,"1655",NA,"CROTLA","C1",53,17.5,22276,5,13,"1.3",1.3,2003-03-24,"alive","S",1,"A",15788
10315,10315,"1656",NA,"DIOSLA","C1",53.8,18.9,22284,5,NA,"0",0,2003-03-24,"missing","K",1,"A",15788
10316,10316,"1657",NA,"SHORCU","C1",54.8,17,22292,5,NA,"0",0,2003-03-24,"dead","D",1,"D",15788
10317,10317,"1658",NA,"SANTAP","C1",46.9,16.9,22300,5,39,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10318,10318,"1659",NA,"STROCE","C1",47.3,16.3,22308,5,45,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10319,10319,"1660",NA,"DIOSDI","C1",48.4,14.2,22316,5,NA,"0",0,2003-03-24,"missing","K",1,"M",15788
10320,10320,"1661",NA,"DIOSDI","C1",48.5,14.2,22324,5,40,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10321,10321,"1662",NA,"NEOLZE","C1",49,13.5,22332,5,NA,"0",0,2003-03-24,"dead","D",1,"A",15788
10322,10322,"1663",NA,"DACRRO","C1",49.3,13.4,22340,5,26,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10323,10323,"1664",NA,"POPOTO","C1",49.5,12.4,22348,5,NA,"0",0,2003-03-24,"missing","K",1,"A",15788
10324,10324,"1665",NA,"ALPHJO","C1",49.9,12,22356,5,NA,"0",0,2003-03-24,"missing","K",1,"M",15788
10325,10325,"1666",NA,"STREEL","C1",45.5,10,22364,5,25,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10326,10326,"1667",NA,"LITSAC","C1",46,8.8,22372,5,NA,"0",0,2003-03-25,"missing","K",1,"M",15789
10327,10327,"1668",NA,"POPOTO","C1",47.3,8.9,22380,5,21,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10328,10328,"1669",NA,"GREWBL","C1",48.3,7.5,22388,5,57,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10329,10329,"1670",NA,"STREEL","C1",48.3,7,22396,5,NA,"0",0,2003-03-25,"missing","K",1,"A",15789
10330,10330,"1671",NA,"SANTAP","C1",49.1,7.3,22404,5,333,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10331,10331,"1672",NA,"STREEL","C1",49.9,9.5,22412,5,NA,"0",0,2003-03-25,"missing","K",1,"M",15789
10332,10332,"1673",NA,"DIOSLA","C1",50,8,22420,5,25,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10333,10333,"1674",NA,"BACCPA","C1",48.9,6,22428,5,53,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10334,10334,"1675",NA,"CALOPC","C1",46.3,6.2,22436,5,NA,"0",0,2003-03-25,"missing","K",1,"M",15789
