"treeID","stemID","tag","StemTag","sp","quadrat","gx","gy","MeasureID","CensusID","dbh","pom","hom","ExactDate","DFstatus","codes","nostems","status","date"
10243,10243,"1541",NA,"NEOSKI","C1",55.6,18.3,87546,6,NA,"0",0,2007-12-28,"dead","D",1,"D",17528
10244,10244,"1542",NA,"MEMEPU","C1",55.2,17.8,87541,6,NA,"0",0,2007-12-28,"dead","D",1,"D",17528
10245,10245,"1543",NA,"POPOTO","C1",55.4,16.4,87536,6,175,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10246,10246,"1544",NA,"CANAPA","C1",56.8,15.9,87531,6,128,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10247,10247,"1545",NA,"CANAPA","C1",57.6,15,87526,6,15,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10248,10248,"1547",NA,"STREEL","C1",57.7,16.1,87521,6,13,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10249,10249,"1548",NA,"DIOSLA","C1",57.9,17.8,87516,6,36,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10250,10250,"1549",NA,"CANAPA","C1",57,17.6,87511,6,NA,"0",0,2007-12-28,"missing","K",1,"A",17528
10251,33686,"1550",NA,"DIOSLA","C1",56.9,17.5,87501,6,17,"1.3",1.3,2007-12-28,"alive","M",2,"A",17528
10252,10252,"1551",NA,"CANAPA","C1",57,17,87496,6,NA,"0",0,2007-12-28,"missing","K",1,"M",17528
10253,10253,"1552",NA,"GUIOPU","C1",57.5,16,87491,6,150,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10254,10254,"1553",NA,"NAUCOF","C1",58.5,16,87486,6,95,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10255,10255,"1554",NA,"STREEL","C1",59.1,14.2,85466,6,17,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10256,10256,"1555",NA,"CANAPA","C1",59.7,13.2,85461,6,83,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10257,10257,"1556",NA,"CANAPA","C1",58,13.5,85456,6,59,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10258,10258,"1557",NA,"CANAPA","C1",57.9,12.4,85451,6,12,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10259,10259,"1558",NA,"GIROPA","C1",57,14,85446,6,16,"1.3",1.3,2007-12-26,"alive","S",1,"A",17526
10260,10260,"1559",NA,"POPOTO","C1",56,13.3,85441,6,28,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10261,10261,"1560",NA,"STREEL","C1",57.4,13,85436,6,12,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10262,10262,"1561",NA,"POPOTO","C1",56.3,12.5,85431,6,23,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10263,10263,"1562",NA,"POPOTO","C1",57,11.9,85426,6,100,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10264,10264,"1567",NA,"POPOTO","C1",57.7,11.2,85421,6,16,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10265,10265,"1568",NA,"ARTOLA","C1",56,6.2,85416,6,45,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10266,10266,"1574",NA,"SANTRU","C1",57.5,6.3,85411,6,19,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10267,10267,"1576",NA,"DACRRO","C1",57,8.3,85406,6,38,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10268,10268,"1577",NA,"GONIMA","C1",58,8,85401,6,17,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10269,10269,"1581",NA,"ENDOMA","C1",58.7,9.8,85396,6,NA,"0",0,2007-12-26,"missing","K",1,"M",17526
10270,10270,"1582",NA,"STROCE","C1",59,9.3,85391,6,34,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10271,10271,"1583",NA,"STREEL","C1",59,9,85386,6,16,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10272,10272,"1584",NA,"GIROSU","C1",59,7.7,85381,6,NA,"0",0,2007-12-26,"dead","D",1,"D",17526
10273,10273,"1585",NA,"EURYLO","C1",58.6,7.9,85376,6,NA,"0",0,2007-12-26,"dead","D",1,"D",17526
10274,10274,"1591",NA,"POPOTO","C1",57.5,4.9,85371,6,91,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10275,10275,"1595",NA,"PIMEGR","C1",52.4,1,85366,6,50,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10276,10276,"1598",NA,"CRY2RU","C1",51.8,0,85361,6,41,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10277,10277,"1599",NA,"PHAEOP","C1",50,4,85356,6,22,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10278,10278,"1601",NA,"GONYMA","C1",54,6.7,85351,6,43,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10279,10279,"1602",NA,"GOM1QU","C1",54.5,6.8,85346,6,12,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10280,10280,"1603",NA,"STREEL","C1",54.9,7,85341,6,29,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10281,10281,"1605",NA,"ALPHJO","C1",52.8,7.5,85336,6,NA,"0",0,2007-12-26,"dead","D",1,"D",17526
10282,10282,"1606",NA,"SCAPMA","C1",52.5,8,85331,6,NA,"0",0,2007-12-26,"dead","D",1,"D",17526
10283,10283,"1607",NA,"LITSAC","C1",52.5,9.3,85326,6,16,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10284,10284,"1608",NA,"TARECO","C1",52.2,8,85321,6,NA,"0",0,2007-12-26,"dead","D",1,"D",17526
10285,10285,"1612",NA,"STREEL","C1",52.6,5.8,85316,6,71,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10286,10286,"1613",NA,"SCAPMA","C1",51.5,6.4,85311,6,30,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10287,10287,"1615",NA,"DIOSLA","C1",52,7.1,85306,6,NA,"0",0,2007-12-26,"broken below","B",1,"A",17526
10288,10288,"1616",NA,"STROCE","C1",52.1,7.4,85301,6,12,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10289,10289,"1617",NA,"DIOSLA","C1",50.8,7.4,85296,6,33,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10290,10290,"1618",NA,"BACCKU","C1",51,7.5,85291,6,NA,"0",0,2007-12-26,"dead","D",1,"D",17526
10291,10291,"1621",NA,"MEMEPU","C1",51.6,9.1,85286,6,20,"1.3",1.3,2007-12-26,"alive",NA,1,"A",17526
10292,33687,"1622",NA,"CANAPA","C1",51.3,9.5,85276,6,56,"1.3",1.3,2007-12-26,"alive","M",2,"A",17526
10293,10293,"1623",NA,"POPOTO","C1",50,10.7,87481,6,84,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10294,10294,"1626",NA,"ALPHJO","C1",51.3,10.2,87476,6,15,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10295,10295,"1627",NA,"ALPHJO","C1",52.8,10,87471,6,22,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10296,10296,"1628",NA,"SCAPMA","C1",54.6,10,87466,6,NA,"0",0,2007-12-28,"dead","D",1,"D",17528
10297,10297,"1631",NA,"VATIRI","C1",53.2,10.4,87461,6,49,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10298,10298,"1632",NA,"STROCE","C1",52.8,11.2,87456,6,50,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10299,10299,"1634",NA,"GOM2SE","C1",53.6,11.8,87451,6,150,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10300,10300,"1635",NA,"XANTEU","C1",53,12.5,87446,6,32,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10301,10301,"1638",NA,"IXONIC","C1",51.8,12,87441,6,24,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10302,10302,"1641",NA,"GREWBL","C1",50.8,14,87436,6,NA,"0",0,2007-12-28,"dead","D",1,"D",17528
10303,10303,"1642",NA,"GREWBL","C1",52.4,14.9,87431,6,18,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10304,10304,"1643",NA,"KOKORE","C1",50.5,13.3,87426,6,37,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10305,10305,"1644",NA,"GARCEU","C1",54.8,14.5,87421,6,19,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10306,10306,"1646",NA,"PIMEGR","C1",54,16,87416,6,NA,"0",0,2007-12-28,"broken below","B",1,"A",17528
10307,10307,"1647",NA,"DIOSLA","C1",53.4,16.5,87411,6,NA,"0",0,2007-12-28,"dead","D",1,"D",17528
10308,10308,"1648",NA,"DIOSLA","C1",53.4,17,87406,6,14,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10309,10309,"1649",NA,"DIOSLA","C1",52.6,16.5,87401,6,22,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10310,10310,"1650",NA,"SANTAP","C1",51.8,17.6,87396,6,34,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10311,10311,"1651",NA,"CROTLA","C1",52.1,17.7,87391,6,33,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10312,10312,"1653",NA,"CALOBM","C1",51.1,18.3,87386,6,15,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10313,10313,"1654",NA,"CLERLA","C1",51,19.1,87381,6,67,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10314,10314,"1655",NA,"CROTLA","C1",53,17.5,87376,6,21,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10315,10315,"1656",NA,"DIOSLA","C1",53.8,18.9,87371,6,NA,"0",0,2007-12-28,"broken below","B",1,"A",17528
10316,10316,"1657",NA,"SHORCU","C1",54.8,17,87366,6,NA,"0",0,2007-12-28,"dead","D",1,"D",17528
10317,10317,"1658",NA,"SANTAP","C1",46.9,16.9,87361,6,45,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10318,10318,"1659",NA,"STROCE","C1",47.3,16.3,87356,6,51,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10319,10319,"1660",NA,"DIOSDI","C1",48.4,14.2,87351,6,NA,"0",0,2007-12-28,"dead","D",1,"D",17528
10320,10320,"1661",NA,"DIOSDI","C1",48.5,14.2,87346,6,47,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
10321,10321,"1662",NA,"NEOLZE","C1",49,13.5,87341,6,12,"1.3",1.3,2007-12-28,"alive","S",1,"A",17528
10322,10322,"1663",NA,"DACRRO","C1",49.3,13.4,87336,6,32,"1.3",1.3,2007-12-28,"alive",NA,1,"A",17528
