"sp","Latin","Genus","Species","Family","SpeciesID","Authority","IDLevel","syn","subsp"
"GARCGR","Garcinia griffithii","Garcinia","griffithii","Clusiaceae",344,"T.Anderson","species",NA,NA
"GARCHO","Garcinia hombroniana","Garcinia","hombroniana","Clusiaceae",345,"Pierre","species",NA,NA
"GARCMG","Garcinia mangostana","Garcinia","mangostana","Clusiaceae",346,"L.","species",NA,NA
"GARCNI","Garcinia nigrolineata","Garcinia","nigrolineata","Clusiaceae",347,"Planch. ex T.Anderson","species",NA,NA
"GARCPA","Garcinia parvifolia","Garcinia","parvifolia","Clusiaceae",348,"Hort. ex Boerl.","species",NA,NA
"GARCSC","Garcinia scortechinii","Garcinia","scortechinii","Clusiaceae",350,"King","species",NA,NA
"GARDTU","Gardenia tubifera","Gardenia","tubifera","Rubiaceae",352,"Wall.","species",NA,NA
"GIRONE","Gironniera nervosa","Gironniera","nervosa","Cannabaceae",353,"Planch.","species",NA,NA
"GIROPA","Gironniera parvifolia","Gironniera","parvifolia","Cannabaceae",354,"Planch.","species",NA,NA
"GIROSU","Gironniera subaequalis","Gironniera","subaequalis","Cannabaceae",355,"Planch.","species",NA,NA
"GLOCHY","Glochidion hypoleucum","Glochidion","hypoleucum","Phyllanthaceae",357,"Hayata","species",NA,NA
"GLUTWA","Gluta wallichii","Gluta","wallichii","Anacardiaceae",359,"(Hook.f.) Ding Hou","species",NA,NA
"GLYCCH","Glycosmis chlorosperma","Glycosmis","chlorosperma","Rutaceae",360,"Spreng.","species",NA,NA
"GNETGN","Gnetum gnemon","Gnetum","gnemon","Gnetaceae",361,"L.","species",NA,NA
"GOM1QU","Gomphandra quadrifida","Gomphandra","quadrifida","Stemonuraceae",362,"(Blume) Sleumer","species","Gomphandra quadrifida",NA
"GOM2SE","Gomphia serrata","Gomphia","serrata","Ochnaceae",363,"(Gaertn.) Kanis","species",NA,NA
"GOMPSE","Gomphia serrata","Gomphia","serrata","Ochnaceae",365,"(Gaertn.) Kanis","species",NA,NA
"GONIMA","Goniothalamus macrophyllus","Goniothalamus","macrophyllus","Annonaceae",366,"Hook.f. & Thoms.","species","Goniothalamus macrophyllus",NA
"GONITA","Goniothalamus tapis","Goniothalamus","tapis","Annonaceae",367,"Miq.","species",NA,NA
"GONYMA","Gonystylus confusus","Gonystylus","confusus","Thymelaeaceae",370,"Airy Shaw","species",NA,NA
"GORDSI","Gordonia singaporiana","Gordonia","singaporiana","Theaceae",372,"Wall.","species",NA,NA
"GREWBL","Microcos blattaefolia","Microcos","blattaefolia","Malvaceae",373,"(Corner) Rao","species",NA,NA
"GUIOPU","Guioa pubescens","Guioa","pubescens","Sapindaceae",374,"Radlk.","species",NA,NA
"GYMNFA","Gymnacranthera farquhariana","Gymnacranthera","farquhariana","Myristicaceae",377,"Warb.","species",NA,NA
"GYMNFO","Gymnacranthera forbesii","Gymnacranthera","forbesii","Myristicaceae",378,"Warb.","species",NA,NA
"GYNOAX","Gynotroches axillaris","Gynotroches","axillaris","Rhizophoraceae",379,"Blume","species",NA,NA
"HERIBO","Heritiera borneensis","Heritiera","borneensis","Malvaceae",380,"(Merr.) Kosterm.","species",NA,NA
"HERIEL","Heritiera elata","Heritiera","elata","Malvaceae",381,"Ridl.","species",NA,NA
"HOPEGR","Hopea griffithii","Hopea","griffithii","Dipterocarpaceae",385,"Kurz","species",NA,NA
"HOPEME","Hopea mengarawan","Hopea","mengarawan","Dipterocarpaceae",386,"Miq.","species",NA,NA
"HORSPF","Horsfieldia punctatifolia","Horsfieldia","punctatifolia","Myristicaceae",394,"J.Sinclair","species",NA,NA
"HORSPO","Horsfieldia polyspherula","Horsfieldia","polyspherula","Myristicaceae",395,"(Hook.f.) J.Sinclair","species",NA,NA
"HORSWA","Horsfieldia wallichii","Horsfieldia","wallichii","Myristicaceae",399,"Warb.","species",NA,NA
"ILEXMA","Ilex macrophylla","Ilex","macrophylla","Aquifoliaceae",401,"Blume","species",NA,NA
"IRVIMA","Irvingia malayana","Irvingia","malayana","Irvingiaceae",404,"Oliver ex A.Benn.","species",NA,NA
"IXONIC","Ixonanthes icosandra","Ixonanthes","icosandra","Ixonanthaceae",406,"Jack","species",NA,NA
"IXONRE","Ixonanthes reticulata","Ixonanthes","reticulata","Ixonanthaceae",407,"Jack","species",NA,NA
"IXORJV","Ixora javanica","Ixora","javanica","Rubiaceae",408,"DC.","species",NA,NA
"IXORPE","Ixora pendula","Ixora","pendula","Rubiaceae",411,"Jack","species",NA,NA
"KIBACO","Kibara coriacea","Kibara","coriacea","Monimiaceae",412,"(Blume) Hook.f. & Thomson","species",NA,NA
"KNEMCI","Knema cinerea","Knema","cinerea","Myristicaceae",414,"Warb.","species",NA,NA
"KNEMHO","Knema hookeriana","Knema","hookeriana","Myristicaceae",416,"Warb.","species",NA,NA
"KNEMLA","Knema laurina","Knema","laurina","Myristicaceae",417,"Warb.","species",NA,NA
"KNEMLT","Knema latericia","Knema","latericia","Myristicaceae",418,"Elmer","species",NA,NA
"KNEMPA","Knema patentinervia","Knema","patentinervia","Myristicaceae",419,"(Sinclair) W.J.de Wilde","species",NA,NA
"KOILLO","Koilodepas longifolium","Koilodepas","longifolium","Euphorbiaceae",420,"Hook.f.","species",NA,NA
"KOKORE","Kokoona reflexa","Kokoona","reflexa","Celastraceae",421,"(M.A.Lawson) Ding Hou","species",NA,NA
"KOOMMA","Koompassia malaccensis","Koompassia","malaccensis","Fabaceae-caesalpinioideae",422,"Maingay","species",NA,NA
"LASIAT","Lasianthus ellipticus","Lasianthus","ellipticus","Rubiaceae",425,"Kuntze","species",NA,NA
"LASIEL","Lasianthus ellipticus","Lasianthus","ellipticus","Rubiaceae",426,"Kuntze","species",NA,NA
"LEPIFR","Lepisanthes fruticosa","Lepisanthes","fruticosa","Sapindaceae",428,"(Roxb.) Leenh.","species",NA,NA
"LICASL","Licania splendens","Licania","splendens","Chrysobalanaceae",429,"(Korth. & sine ref.) Prance & Kosterm.","species",NA,NA
"LITHEL","Lithocarpus elegans","Lithocarpus","elegans","Fagaceae",433,"(Blume) Hatus. ex Soepadmo","species",NA,NA
"LITHEW","Lithocarpus ewyckii","Lithocarpus","ewyckii","Fagaceae",435,"Rehder","species",NA,NA
"LITSAC","Litsea accedens","Litsea","accedens","Lauraceae",441,"Boerl.","species","Litsea accedens",NA
"LITSCA","Litsea castanea","Litsea","castanea","Lauraceae",442,"Hook.f.","species",NA,NA
"LITSEL","Litsea elliptica","Litsea","elliptica","Lauraceae",444,"Blume","species",NA,NA
"LITSFI","Litsea firma","Litsea","firma","Lauraceae",446,"Hook.f.","species",NA,NA
