"sp","Latin","Genus","Species","Family","SpeciesID","Authority","IDLevel","syn","subsp"
"SWINSC","Swintonia schwenkii","Swintonia","schwenkii","Anacardiaceae",650,"eijsm. & Binn.","species",NA,NA
"SYMPCO","Symplocos cochinchinensis","Symplocos","cochinchinensis","Symplocaceae",651,"(Lour.) S.Moore","species",NA,NA
"SYMPFA","Symplocos fasciculata","Symplocos","fasciculata","Symplocaceae",652,"Roxb. ex Vesque.","species",NA,NA
"SYZYSI","Syzygium singaporense","Syzygium","singaporense","Myrtaceae",653,"(King) Airy Shaw","species",NA,NA
"TARECO","Tarenna costata","Tarenna","costata","Rubiaceae",655,"Merr.","species",NA,NA
"TEIJCO","Teijsmanniodendron coriaceum","Teijsmanniodendron","coriaceum","Lamiaceae",656,"(C.B.Clarke) Kosterm.","species",NA,NA
"TERMSU","Terminalia subspathulata","Terminalia","subspathulata","Combretaceae",660,"King","species",NA,NA
"TIMOWA","Timonius wallichianus","Timonius","wallichianus","Rubiaceae",661,"Valeton","species",NA,NA
"TRI2MA","Trigonopleura malayana","Trigonopleura","malayana","Euphorbiaceae",662,"Hook.f.","species",NA,NA
"TRI3LO","Trigonostemon longifolius","Trigonostemon","longifolius","Euphorbiaceae",663,"Baill.","species",NA,NA
"TRIOMA","Triomma malaccensis","Triomma","malaccensis","Burseraceae",666,"Hook.f.","species",NA,NA
"UROPBL","Urophyllum blumeanum","Urophyllum","blumeanum","Rubiaceae",668,"Hook.f.","species",NA,NA
"UROPGL","Urophyllum glabrum","Urophyllum","glabrum","Rubiaceae",669,"Wall.","species",NA,NA
"UROPHI","Urophyllum hirsutum","Urophyllum","hirsutum","Rubiaceae",670,"Hook.f.","species",NA,NA
"VATIMA","Vatica maingayi","Vatica","maingayi","Dipterocarpaceae",671,"Dyer","species",NA,NA
"VATIRI","Vatica ridleyana","Vatica","ridleyana","Dipterocarpaceae",673,"Brandis","species",NA,NA
"VITEPI","Vitex pinnata","Vitex","pinnata","Lamiaceae",675,"L.","species",NA,NA
"VITEQU","Vitex quinata","Vitex","quinata","Lamiaceae",676,"Druce","species",NA,NA
"WALSCG","Walsura chrysogyne","Walsura","chrysogyne","Meliaceae",677,"(Miq.) Bakh.f.apud van Steenis","species",NA,NA
"XANTAM","Xanthophyllum amoenum","Xanthophyllum","amoenum","Polygalaceae",682,"Chodat","species",NA,NA
"XANTDC","Xanthophyllum discolor","Xanthophyllum","discolor","Polygalaceae",683,"Chodat","species",NA,NA
"XANTEL","Xanthophyllum ellipticum","Xanthophyllum","ellipticum","Polygalaceae",684,"Korth. ex Miq.","species",NA,NA
"XANTEU","Xanthophyllum eurhynchum","Xanthophyllum","eurhynchum","Polygalaceae",685,"Miq.","species",NA,NA
"XANTGR","Xanthophyllum griffithii","Xanthophyllum","griffithii","Polygalaceae",687,"Hook.f. ex A.W.Benn.","species",NA,NA
"XANTST","Xanthophyllum stipitatum","Xanthophyllum","stipitatum","Polygalaceae",690,"A.W.Benn.","species",NA,NA
"XERONO","Xerospermum noronhianum","Xerospermum","noronhianum","Sapindaceae",691,"Blume","species",NA,NA
"XYLOCA","Xylopia caudata","Xylopia","caudata","Annonaceae",692,"Hook.f. & Thomson","species",NA,NA
"XYLOMA","Xylopia malayana","Xylopia","malayana","Annonaceae",695,"Hook.f. & Thomson","species",NA,NA
"XYLOMG","Xylopia magna","Xylopia","magna","Annonaceae",696,"Maingay ex Hook.f.","species",NA,NA
